FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,HST,AS,AST
0,0,Draw,0,0,Draw,10,6,11,2
1,1,Draw,0,0,Draw,18,7,8,3
1,1,Draw,1,0,Home,9,7,14,6
1,0,Home,0,0,Draw,18,7,13,8
3,1,Home,2,0,Home,20,17,17,10
1,2,Away,0,0,Draw,11,6,13,7
2,0,Home,1,0,Home,22,11,10,7
3,3,Draw,0,1,Away,16,12,27,14
0,1,Away,0,0,Draw,9,5,9,4
0,0,Draw,0,0,Draw,8,2,12,9
1,0,Home,0,0,Draw,16,14,15,5
0,4,Away,0,2,Away,9,5,22,13
3,1,Home,1,1,Draw,13,9,8,4
1,2,Away,0,1,Away,17,10,10,7
2,1,Home,1,1,Draw,19,15,11,7
3,2,Home,1,2,Away,12,10,14,6
1,1,Draw,0,1,Away,10,3,8,3
0,1,Away,0,1,Away,13,8,16,7
3,1,Home,2,0,Home,16,9,15,8
1,3,Away,0,1,Away,8,6,10,8
2,1,Home,1,1,Draw,12,10,15,9
4,1,Home,1,1,Draw,19,15,9,5
2,3,Away,2,1,Home,10,7,21,12
3,0,Home,1,0,Home,16,11,12,4
0,0,Draw,0,0,Draw,22,12,8,6
0,0,Draw,0,0,Draw,7,1,7,4
3,2,Home,1,1,Draw,15,7,9,5
2,2,Draw,1,0,Home,11,6,15,9
1,1,Draw,1,1,Draw,23,16,6,2
5,0,Home,3,0,Home,14,9,10,5
0,2,Away,0,1,Away,19,10,18,8
1,0,Home,0,0,Draw,13,5,13,7
2,1,Home,1,1,Draw,17,11,10,4
3,0,Home,1,0,Home,9,6,15,8
1,4,Away,1,3,Away,15,10,8,6
0,2,Away,0,1,Away,10,4,12,5
0,0,Draw,0,0,Draw,14,6,12,6
0,0,Draw,0,0,Draw,13,6,12,5
2,1,Home,0,1,Away,16,10,18,9
3,2,Home,2,1,Home,13,9,14,8
0,1,Away,0,0,Draw,10,6,12,5
0,2,Away,0,1,Away,15,9,11,6
2,2,Draw,1,2,Away,17,11,7,3
3,0,Home,2,0,Home,14,10,7,4
2,2,Draw,1,1,Draw,13,6,14,7
4,1,Home,3,1,Home,13,9,14,7
0,0,Draw,0,0,Draw,15,5,10,5
2,0,Home,0,0,Draw,18,10,6,4
4,1,Home,3,1,Home,13,8,23,13
1,0,Home,1,0,Home,13,6,6,4
0,2,Away,0,0,Draw,20,13,17,10
0,4,Away,0,3,Away,14,10,14,9
1,0,Home,1,0,Home,16,10,24,9
1,0,Home,1,0,Home,22,13,13,8
1,2,Away,1,0,Home,15,8,19,12
0,1,Away,0,1,Away,12,6,14,5
0,2,Away,0,1,Away,11,4,7,5
2,2,Draw,0,2,Away,7,5,8,4
1,3,Away,1,2,Away,12,9,9,5
1,0,Home,0,0,Draw,27,12,7,5
0,0,Draw,0,0,Draw,30,14,5,1
2,1,Home,1,0,Home,19,9,10,7
2,2,Draw,1,1,Draw,11,7,13,9
2,1,Home,0,1,Away,15,12,13,4
