FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,HST,AS,AST
2,3,Away,0,3,Away,16,3,17,10
1,2,Away,0,1,Away,17,6,17,6
1,0,Home,0,0,Draw,8,2,19,2
1,3,Away,0,1,Away,23,8,11,5
1,0,Home,0,0,Draw,14,5,6,1
6,1,Home,2,0,Home,17,11,12,4
4,0,Home,2,0,Home,21,12,14,6
4,1,Home,3,0,Home,17,10,12,3
1,2,Away,1,1,Draw,11,5,17,8
2,4,Away,1,2,Away,16,4,14,10
4,2,Home,3,0,Home,15,8,15,5
7,0,Home,3,0,Home,20,11,11,4
4,0,Home,2,0,Home,20,6,5,1
0,1,Away,0,0,Draw,13,2,10,1
0,2,Away,0,1,Away,25,5,8,3
2,2,Draw,0,1,Away,16,6,7,3
2,2,Draw,2,1,Home,16,3,13,3
2,2,Draw,0,0,Draw,13,5,17,5
0,3,Away,0,1,Away,14,1,17,8
1,0,Home,1,0,Home,16,3,12,1
2,3,Away,1,2,Away,19,9,11,4
3,0,Home,2,0,Home,11,5,11,4
2,1,Home,0,1,Away,17,9,4,2
0,2,Away,0,1,Away,18,1,5,4
1,3,Away,0,3,Away,14,6,20,6
0,0,Draw,0,0,Draw,13,6,6,4
1,1,Draw,1,0,Home,16,6,16,3
2,1,Home,1,0,Home,12,3,10,5
1,1,Draw,1,1,Draw,27,5,6,2
1,0,Home,1,0,Home,24,10,7,2
0,2,Away,0,1,Away,9,1,16,7
1,1,Draw,0,0,Draw,15,7,14,5
2,2,Draw,1,0,Home,9,3,18,6
1,1,Draw,1,0,Home,7,2,9,1
0,2,Away,0,0,Draw,12,2,10,3
2,4,Away,2,1,Home,14,7,19,5
0,1,Away,0,1,Away,13,1,15,4
5,2,Home,3,1,Home,16,8,12,3
3,2,Home,2,0,Home,13,6,25,14
1,0,Home,1,0,Home,20,6,10,2
2,2,Draw,1,1,Draw,15,4,14,4
4,1,Home,1,0,Home,19,8,9,3
2,0,Home,2,0,Home,14,7,12,5
3,3,Draw,0,2,Away,17,6,9,4
0,3,Away,0,0,Draw,7,2,11,4
3,2,Home,1,2,Away,16,5,11,2
2,2,Draw,0,1,Away,13,5,13,5
0,0,Draw,0,0,Draw,18,6,16,4
3,0,Home,0,0,Draw,25,8,6,2
2,0,Home,2,0,Home,18,6,11,2
5,1,Home,2,0,Home,15,7,9,5
4,0,Home,2,0,Home,20,12,4,0
2,5,Away,0,2,Away,22,7,10,5
2,0,Home,0,0,Draw,14,5,9,1
1,1,Draw,1,0,Home,8,4,14,7
0,1,Away,0,1,Away,15,4,11,4
1,0,Home,1,0,Home,22,6,8,3
4,1,Home,2,0,Home,18,10,10,3
3,1,Home,1,1,Draw,15,7,8,1
3,0,Home,3,0,Home,6,4,11,1
1,0,Home,1,0,Home,19,7,6,0
2,3,Away,0,2,Away,25,12,17,8
3,0,Home,2,0,Home,14,6,19,4
1,0,Home,1,0,Home,10,3,5,0
1,0,Home,1,0,Home,9,4,13,2
0,1,Away,0,1,Away,19,8,9,4
5,4,Home,4,2,Home,15,7,21,7
1,1,Draw,0,1,Away,18,9,6,2
2,1,Home,0,0,Draw,9,2,19,5
1,2,Away,0,1,Away,14,4,14,8
3,3,Draw,2,1,Home,22,8,11,7
2,1,Home,0,0,Draw,15,6,10,5
0,1,Away,0,0,Draw,27,13,6,3
1,2,Away,1,1,Draw,13,4,21,7
4,1,Home,2,0,Home,20,7,14,3
1,2,Away,0,0,Draw,9,4,25,9
1,1,Draw,1,1,Draw,16,5,11,1
2,2,Draw,1,0,Home,17,8,12,4
2,2,Draw,0,1,Away,15,5,9,4
0,2,Away,0,1,Away,13,3,14,7
1,0,Home,1,0,Home,26,8,6,1
2,5,Away,0,1,Away,11,4,20,9
2,1,Home,1,0,Home,14,5,17,4
0,1,Away,0,0,Draw,9,2,16,5
3,3,Draw,0,0,Draw,20,5,9,4
4,1,Home,2,0,Home,16,7,8,4
1,1,Draw,1,0,Home,13,5,8,4
2,1,Home,0,0,Draw,13,3,10,3
2,0,Home,0,0,Draw,11,5,13,3
4,2,Home,1,2,Away,19,7,13,5
2,3,Away,2,1,Home,14,4,16,8
1,1,Draw,1,1,Draw,19,7,13,5
1,0,Home,0,0,Draw,12,2,17,2
0,0,Draw,0,0,Draw,20,7,7,2
1,1,Draw,0,1,Away,24,7,15,5
3,0,Home,3,0,Home,23,10,13,0
2,0,Home,0,0,Draw,14,5,8,3
1,1,Draw,0,1,Away,19,3,8,2
0,3,Away,0,2,Away,11,6,20,10
0,2,Away,0,0,Draw,13,2,15,5
3,0,Home,1,0,Home,21,6,12,2
1,3,Away,1,0,Home,9,6,10,7
1,2,Away,0,0,Draw,11,1,15,6
0,1,Away,0,0,Draw,7,1,20,7
2,0,Home,1,0,Home,12,5,22,5
3,0,Home,0,0,Draw,15,8,20,3
2,0,Home,0,0,Draw,18,6,8,1
3,1,Home,1,1,Draw,35,12,2,1
0,2,Away,0,0,Draw,12,3,10,3
3,0,Home,2,0,Home,9,6,22,5
4,1,Home,1,1,Draw,30,12,10,3
1,3,Away,0,1,Away,16,6,9,5
5,1,Home,3,0,Home,21,11,6,3
1,1,Draw,1,1,Draw,14,3,10,5
1,2,Away,1,1,Draw,12,2,8,4
2,1,Home,1,1,Draw,12,7,10,2
0,2,Away,0,1,Away,18,3,13,5
0,0,Draw,0,0,Draw,16,2,21,8
2,1,Home,2,0,Home,7,2,15,6
3,3,Draw,1,3,Away,13,5,13,6
3,0,Home,1,0,Home,14,7,14,3
2,2,Draw,1,0,Home,11,6,25,8
1,0,Home,0,0,Draw,16,4,14,0
1,2,Away,1,2,Away,10,4,7,3
1,1,Draw,0,0,Draw,11,4,18,6
1,0,Home,0,0,Draw,15,3,20,6
4,0,Home,3,0,Home,28,11,13,4
2,1,Home,0,1,Away,10,4,14,5
3,2,Home,2,2,Draw,14,6,8,4
2,1,Home,2,0,Home,15,7,11,1
2,2,Draw,0,1,Away,11,2,11,3
0,0,Draw,0,0,Draw,17,6,15,6
3,1,Home,2,0,Home,18,6,7,2
0,1,Away,0,1,Away,19,8,14,6
4,1,Home,2,1,Home,35,14,8,4
2,1,Home,0,0,Draw,12,6,12,5
2,3,Away,0,3,Away,23,7,10,5
4,0,Home,2,0,Home,12,5,10,4
1,3,Away,0,1,Away,11,5,13,5
3,1,Home,3,1,Home,13,4,9,3
4,1,Home,0,1,Away,25,9,13,1
2,1,Home,1,1,Draw,13,6,17,7
2,1,Home,1,1,Draw,16,9,15,4
3,2,Home,3,0,Home,9,5,18,5
3,0,Home,2,0,Home,19,6,8,3
0,2,Away,0,0,Draw,15,4,14,6
1,3,Away,0,1,Away,18,6,11,6
5,0,Home,3,0,Home,19,8,15,1
1,1,Draw,1,0,Home,14,5,23,5
0,0,Draw,0,0,Draw,6,1,13,3
2,0,Home,0,0,Draw,11,5,7,3
2,1,Home,0,0,Draw,15,2,13,6
0,0,Draw,0,0,Draw,13,2,13,5
0,3,Away,0,1,Away,16,3,18,10
4,0,Home,2,0,Home,21,8,6,2
1,0,Home,0,0,Draw,16,2,15,4
1,3,Away,0,2,Away,19,10,19,9
1,0,Home,0,0,Draw,18,5,5,1
1,2,Away,0,2,Away,13,8,13,4
2,1,Home,1,0,Home,13,5,11,3
2,1,Home,1,0,Home,9,4,8,2
1,2,Away,0,1,Away,18,6,10,2
1,0,Home,0,0,Draw,18,3,8,2
1,1,Draw,1,0,Home,7,4,10,1
4,0,Home,1,0,Home,12,8,23,7
1,1,Draw,0,0,Draw,20,6,5,2
2,2,Draw,1,0,Home,25,3,7,5
2,1,Home,1,1,Draw,18,3,9,1
1,1,Draw,0,1,Away,20,5,5,2
1,0,Home,1,0,Home,15,7,21,7
1,1,Draw,1,0,Home,7,4,24,3
1,1,Draw,1,0,Home,12,2,13,5
1,0,Home,1,0,Home,9,5,22,5
2,1,Home,1,0,Home,11,6,17,6
2,0,Home,1,0,Home,21,6,5,0
2,0,Home,0,0,Draw,14,9,10,1
2,0,Home,1,0,Home,11,6,16,3
1,2,Away,1,1,Draw,21,5,5,2
1,1,Draw,1,1,Draw,16,7,5,3
2,2,Draw,1,0,Home,18,7,13,3
3,2,Home,0,1,Away,13,4,17,5
2,4,Away,0,1,Away,18,3,14,5
1,1,Draw,1,0,Home,18,7,13,5
1,0,Home,0,0,Draw,6,1,16,4
2,0,Home,1,0,Home,13,4,17,7
3,1,Home,1,1,Draw,34,13,12,3
3,1,Home,1,0,Home,9,3,10,3
1,4,Away,1,3,Away,11,2,13,5
2,1,Home,1,1,Draw,17,4,22,5
0,2,Away,0,1,Away,7,1,11,4
0,0,Draw,0,0,Draw,14,2,10,6
3,3,Draw,2,2,Draw,18,8,10,5
2,1,Home,1,0,Home,8,3,16,6
1,1,Draw,0,0,Draw,35,13,6,2
1,1,Draw,1,1,Draw,19,3,13,6
2,0,Home,1,0,Home,20,7,12,6
1,1,Draw,1,0,Home,10,2,7,2
1,2,Away,0,2,Away,24,5,14,4
1,1,Draw,0,1,Away,19,3,14,4
2,1,Home,0,0,Draw,11,4,23,9
0,1,Away,0,0,Draw,13,1,11,2
3,2,Home,2,0,Home,19,5,10,2
3,3,Draw,2,2,Draw,12,5,13,6
2,1,Home,0,0,Draw,12,4,11,3
1,2,Away,1,1,Draw,13,3,10,5
1,1,Draw,1,1,Draw,16,3,8,3
3,2,Home,1,1,Draw,16,8,12,5
0,0,Draw,0,0,Draw,18,7,13,3
1,2,Away,0,1,Away,17,6,11,5
1,0,Home,1,0,Home,12,4,13,5
2,1,Home,2,0,Home,16,5,18,4
1,3,Away,0,2,Away,16,4,8,3
0,2,Away,0,0,Draw,13,3,14,6
0,0,Draw,0,0,Draw,11,3,12,4
1,0,Home,1,0,Home,10,3,11,4
5,1,Home,3,1,Home,20,9,10,2
1,3,Away,1,2,Away,16,5,13,7
0,0,Draw,0,0,Draw,18,4,15,3
4,1,Home,2,1,Home,16,9,16,3
2,1,Home,1,0,Home,17,6,9,2
1,0,Home,1,0,Home,9,5,10,3
0,0,Draw,0,0,Draw,9,3,11,6
1,1,Draw,0,1,Away,29,6,8,2
4,3,Home,2,1,Home,16,8,10,4
0,3,Away,0,1,Away,3,1,13,5
1,1,Draw,0,1,Away,12,4,13,4
2,4,Away,0,2,Away,16,5,6,4
4,4,Draw,1,2,Away,15,5,22,10
1,0,Home,0,0,Draw,10,3,14,2
0,1,Away,0,0,Draw,18,5,9,2
2,0,Home,2,0,Home,14,7,11,6
4,0,Home,1,0,Home,10,6,13,3
0,1,Away,0,1,Away,19,4,7,3
1,0,Home,1,0,Home,15,6,8,2
0,3,Away,0,1,Away,11,5,10,3
0,2,Away,0,0,Draw,19,4,5,4
1,0,Home,0,0,Draw,14,5,16,3
2,2,Draw,1,1,Draw,17,8,6,2
1,1,Draw,1,1,Draw,14,2,16,6
2,0,Home,0,0,Draw,24,7,12,4
1,2,Away,0,0,Draw,15,3,11,4
0,2,Away,0,1,Away,12,5,16,5
1,2,Away,0,0,Draw,18,8,27,6
2,1,Home,1,1,Draw,22,6,7,2
1,0,Home,1,0,Home,14,1,13,5
1,3,Away,0,1,Away,14,4,10,6
5,1,Home,1,1,Draw,10,5,14,3
0,2,Away,0,0,Draw,13,0,14,7
0,0,Draw,0,0,Draw,16,4,9,2
4,1,Home,1,0,Home,24,10,9,3
4,0,Home,3,0,Home,15,6,7,1
2,1,Home,1,0,Home,14,8,14,4
3,1,Home,1,1,Draw,20,9,10,4
2,0,Home,1,0,Home,9,3,15,2
0,3,Away,0,1,Away,19,6,14,5
1,2,Away,0,1,Away,14,6,16,7
2,0,Home,1,0,Home,12,5,16,6
1,1,Draw,1,1,Draw,10,3,13,5
1,0,Home,0,0,Draw,22,5,13,4
4,0,Home,2,0,Home,15,9,4,3
0,1,Away,0,0,Draw,8,1,21,9
0,2,Away,0,1,Away,28,4,16,8
4,1,Home,1,0,Home,11,4,15,4
0,3,Away,0,1,Away,11,3,13,3
2,2,Draw,1,1,Draw,13,6,22,8
2,1,Home,1,0,Home,19,11,11,3
2,1,Home,1,0,Home,15,7,11,2
2,1,Home,0,1,Away,13,4,10,5
0,1,Away,0,1,Away,25,9,4,1
0,1,Away,0,1,Away,22,6,8,4
2,0,Home,1,0,Home,11,2,10,3
2,1,Home,2,0,Home,9,6,10,4
0,1,Away,0,0,Draw,21,13,6,2
2,0,Home,1,0,Home,11,5,11,2
3,2,Home,0,2,Away,30,9,14,4
2,0,Home,0,0,Draw,12,6,19,7
1,1,Draw,1,1,Draw,11,5,4,2
0,2,Away,0,2,Away,23,6,14,7
2,1,Home,2,1,Home,15,5,7,2
2,2,Draw,1,2,Away,7,4,19,4
0,2,Away,0,0,Draw,8,3,11,3
0,0,Draw,0,0,Draw,20,4,4,1
1,2,Away,0,2,Away,12,7,14,5
4,0,Home,0,0,Draw,15,12,11,6
1,0,Home,0,0,Draw,12,3,18,4
1,1,Draw,1,0,Home,13,4,14,6
2,2,Draw,1,2,Away,19,4,12,3
1,3,Away,1,1,Draw,8,5,22,12
4,0,Home,1,0,Home,21,10,10,2
1,1,Draw,1,1,Draw,9,3,19,4
2,0,Home,1,0,Home,8,3,10,2
2,0,Home,0,0,Draw,17,7,8,2
4,1,Home,2,1,Home,17,8,17,7
1,0,Home,0,0,Draw,7,4,17,6
2,0,Home,1,0,Home,16,9,16,3
3,0,Home,0,0,Draw,19,9,9,3
1,2,Away,0,1,Away,18,4,9,3
2,3,Away,2,2,Draw,18,3,11,6
3,0,Home,1,0,Home,13,6,11,0
0,2,Away,0,1,Away,12,4,13,4
0,1,Away,0,0,Draw,10,4,13,5
0,5,Away,0,0,Draw,7,4,22,9
3,1,Home,2,0,Home,13,9,13,4
1,2,Away,1,1,Draw,19,3,19,5
2,0,Home,1,0,Home,12,9,11,3
6,0,Home,1,0,Home,18,8,10,2
0,1,Away,0,1,Away,13,0,12,1
0,5,Away,0,3,Away,8,2,19,9
0,0,Draw,0,0,Draw,12,2,10,5
2,2,Draw,2,2,Draw,13,6,21,6
5,0,Home,2,0,Home,17,11,13,4
2,0,Home,1,0,Home,24,6,8,3
1,3,Away,0,2,Away,20,6,13,5
2,1,Home,1,0,Home,14,4,9,5
2,2,Draw,1,0,Home,17,6,17,8
3,0,Home,0,0,Draw,11,6,18,9
2,3,Away,0,1,Away,9,4,15,5
1,1,Draw,1,1,Draw,20,8,15,4
4,0,Home,2,0,Home,16,10,12,3
1,1,Draw,0,0,Draw,10,1,9,4
2,3,Away,2,1,Home,15,7,16,4
5,1,Home,3,1,Home,14,8,19,5
2,0,Home,0,0,Draw,13,7,14,4
1,0,Home,0,0,Draw,24,11,7,0
1,0,Home,0,0,Draw,10,4,15,3
1,1,Draw,1,1,Draw,9,1,9,3
2,2,Draw,1,2,Away,8,4,13,7
1,2,Away,0,1,Away,14,3,9,5
2,3,Away,2,2,Draw,22,10,15,8
3,3,Draw,0,3,Away,28,8,10,7
1,1,Draw,0,1,Away,17,6,14,3
1,1,Draw,0,1,Away,9,4,10,1
1,1,Draw,1,0,Home,12,6,21,6
1,3,Away,0,0,Draw,13,6,20,9
4,1,Home,3,1,Home,18,9,12,4
1,1,Draw,0,0,Draw,13,6,8,3
1,0,Home,0,0,Draw,14,5,3,2
4,2,Home,0,0,Draw,13,5,13,5
2,1,Home,1,0,Home,20,9,21,6
3,0,Home,2,0,Home,18,6,11,2
0,0,Draw,0,0,Draw,17,3,3,0
1,1,Draw,1,0,Home,13,5,16,5
0,0,Draw,0,0,Draw,15,1,11,2
0,5,Away,0,1,Away,15,1,12,7
2,1,Home,2,0,Home,17,8,19,6
0,2,Away,0,1,Away,7,0,16,7
1,0,Home,0,0,Draw,15,3,9,7
3,0,Home,2,0,Home,20,10,6,3
2,4,Away,0,2,Away,12,5,27,13
2,0,Home,1,0,Home,17,5,9,2
3,0,Home,1,0,Home,18,6,18,5
1,1,Draw,0,0,Draw,16,3,14,4
0,1,Away,0,1,Away,13,3,11,4
2,1,Home,1,1,Draw,32,8,5,2
0,1,Away,0,1,Away,15,2,9,2
0,0,Draw,0,0,Draw,14,4,11,2
3,1,Home,1,0,Home,18,8,12,5
2,3,Away,0,0,Draw,18,5,18,11
1,5,Away,1,1,Draw,8,2,9,9
0,2,Away,0,0,Draw,14,6,11,3
3,1,Home,1,0,Home,18,7,14,2
3,0,Home,1,0,Home,21,9,6,0
2,1,Home,0,0,Draw,10,6,8,3
1,0,Home,1,0,Home,10,2,18,6
2,3,Away,0,1,Away,14,5,15,10
1,2,Away,1,1,Draw,14,5,6,2
0,0,Draw,0,0,Draw,16,5,12,3
1,2,Away,0,0,Draw,15,2,10,5
2,1,Home,0,0,Draw,23,10,5,4
2,3,Away,2,1,Home,12,5,8,6
1,1,Draw,0,1,Away,13,5,11,4
2,4,Away,2,1,Home,13,7,23,7
0,2,Away,0,1,Away,14,1,6,2
1,1,Draw,1,1,Draw,8,1,20,6
0,4,Away,0,3,Away,17,3,16,5
0,0,Draw,0,0,Draw,8,3,7,1
0,1,Away,0,1,Away,15,2,11,3
0,1,Away,0,1,Away,16,3,12,5
0,3,Away,0,2,Away,10,4,20,10
0,1,Away,0,0,Draw,7,1,13,3
1,0,Home,0,0,Draw,14,4,9,5
3,0,Home,1,0,Home,16,7,5,2
4,2,Home,2,1,Home,11,6,17,7
3,0,Home,0,0,Draw,20,5,9,3
5,1,Home,3,1,Home,16,6,7,3
2,0,Home,0,0,Draw,10,6,7,1
0,0,Draw,0,0,Draw,13,2,5,1
1,1,Draw,0,0,Draw,10,2,22,5
5,2,Home,3,1,Home,19,9,14,4
4,0,Home,3,0,Home,18,8,4,1
2,1,Home,2,0,Home,4,3,14,3
0,1,Away,0,1,Away,17,3,20,3
1,3,Away,1,3,Away,12,4,11,3
0,2,Away,0,1,Away,7,3,11,6
2,1,Home,1,0,Home,16,5,11,5
1,0,Home,1,0,Home,12,4,8,0
1,2,Away,0,1,Away,10,2,13,6
0,0,Draw,0,0,Draw,7,0,9,3
3,0,Home,2,0,Home,18,8,9,3
1,2,Away,0,1,Away,15,7,10,4
2,0,Home,2,0,Home,17,6,7,5
2,0,Home,1,0,Home,18,9,7,3
2,1,Home,1,0,Home,18,4,17,4
1,1,Draw,0,1,Away,16,4,4,1
2,1,Home,0,0,Draw,23,9,7,2
1,0,Home,1,0,Home,5,1,14,8
3,0,Home,2,0,Home,12,4,3,1
3,0,Home,1,0,Home,11,5,17,3
0,0,Draw,0,0,Draw,18,4,5,2
1,4,Away,1,2,Away,14,3,15,10
0,0,Draw,0,0,Draw,18,6,12,3
3,3,Draw,0,2,Away,19,11,9,5
2,0,Home,0,0,Draw,19,8,11,2
0,1,Away,0,1,Away,6,3,14,6
2,3,Away,1,1,Draw,14,8,13,6
2,2,Draw,2,0,Home,13,7,14,5
2,2,Draw,0,2,Away,13,5,13,4
0,0,Draw,0,0,Draw,9,6,7,2
3,3,Draw,2,2,Draw,16,5,16,6
2,1,Home,1,1,Draw,13,6,5,1
0,1,Away,0,1,Away,11,2,18,7
4,0,Home,3,0,Home,16,7,6,1
1,1,Draw,1,1,Draw,11,3,7,4
1,2,Away,0,1,Away,10,6,19,9
1,2,Away,1,0,Home,20,5,13,6
1,0,Home,1,0,Home,14,4,8,2
0,0,Draw,0,0,Draw,19,4,19,1
2,2,Draw,1,2,Away,8,4,11,4
0,1,Away,0,0,Draw,17,1,2,2
1,1,Draw,1,0,Home,11,7,10,4
0,0,Draw,0,0,Draw,24,9,7,1
1,2,Away,0,0,Draw,20,5,8,2
0,4,Away,0,2,Away,3,1,18,7
0,6,Away,0,1,Away,11,5,22,13
2,0,Home,0,0,Draw,14,8,12,4
1,1,Draw,0,0,Draw,27,7,7,3
2,3,Away,0,0,Draw,18,9,23,9
1,1,Draw,1,1,Draw,7,4,11,3
0,1,Away,0,0,Draw,17,7,11,3
0,0,Draw,0,0,Draw,5,3,10,2
1,3,Away,0,1,Away,11,6,12,7
1,2,Away,0,1,Away,14,1,14,6
1,1,Draw,0,1,Away,12,6,14,5
1,0,Home,1,0,Home,12,3,18,4
0,1,Away,0,1,Away,20,3,7,3
2,2,Draw,0,1,Away,24,6,8,4
0,3,Away,0,1,Away,14,6,9,5
4,0,Home,2,0,Home,22,9,10,2
2,1,Home,1,1,Draw,15,7,12,9
4,0,Home,3,0,Home,18,13,10,2
2,0,Home,1,0,Home,13,6,13,3
0,0,Draw,0,0,Draw,6,3,12,3
0,0,Draw,0,0,Draw,8,4,12,4
1,1,Draw,0,0,Draw,18,6,7,2
2,2,Draw,1,1,Draw,28,10,5,4
0,0,Draw,0,0,Draw,8,2,18,3
2,0,Home,0,0,Draw,13,4,10,5
2,2,Draw,1,0,Home,8,3,10,5
1,5,Away,0,3,Away,8,3,23,10
0,0,Draw,0,0,Draw,12,4,11,3
1,1,Draw,1,0,Home,19,6,15,2
5,3,Home,2,1,Home,17,6,22,5
0,4,Away,0,0,Draw,9,3,17,8
0,2,Away,0,0,Draw,9,2,8,3
1,1,Draw,0,1,Away,13,5,7,3
1,3,Away,0,3,Away,15,2,11,6
1,0,Home,1,0,Home,22,6,3,0
5,2,Home,3,0,Home,17,11,8,4
1,0,Home,1,0,Home,7,3,9,2
2,2,Draw,1,1,Draw,12,4,13,5
2,3,Away,2,0,Home,14,3,16,9
3,2,Home,1,1,Draw,17,7,8,4
3,1,Home,1,1,Draw,17,10,4,1
3,0,Home,1,0,Home,20,6,4,0
2,1,Home,2,0,Home,10,7,19,6
2,0,Home,1,0,Home,15,6,14,3
1,0,Home,0,0,Draw,6,5,14,5
2,0,Home,1,0,Home,16,6,8,0
0,3,Away,0,2,Away,12,4,15,8
4,2,Home,3,1,Home,28,11,12,6
1,2,Away,0,2,Away,20,6,5,3
3,1,Home,1,0,Home,14,5,15,2
2,3,Away,0,2,Away,14,7,19,8
1,0,Home,0,0,Draw,6,1,11,2
0,1,Away,0,1,Away,8,1,19,6
2,2,Draw,0,2,Away,13,5,13,5
1,0,Home,1,0,Home,17,3,12,3
0,0,Draw,0,0,Draw,17,4,9,5
1,0,Home,1,0,Home,9,4,15,2
1,1,Draw,1,1,Draw,12,5,5,1
2,3,Away,1,2,Away,14,7,16,8
0,3,Away,0,1,Away,10,1,10,4
2,3,Away,1,1,Draw,19,6,10,6
1,1,Draw,0,1,Away,21,9,9,3
3,0,Home,0,0,Draw,28,12,6,2
1,2,Away,0,0,Draw,14,5,9,3
1,3,Away,0,1,Away,9,4,8,4
0,0,Draw,0,0,Draw,15,5,17,5
4,3,Home,4,2,Home,10,7,15,4
2,0,Home,1,0,Home,8,3,9,0
3,1,Home,3,0,Home,16,9,5,3
4,1,Home,1,0,Home,10,5,11,4
2,1,Home,0,0,Draw,17,7,6,2
1,1,Draw,0,1,Away,8,1,16,8
3,3,Draw,1,2,Away,17,7,14,9
0,0,Draw,0,0,Draw,6,0,14,3
2,1,Home,2,0,Home,14,4,4,2
1,2,Away,0,1,Away,16,3,18,8
1,3,Away,0,2,Away,17,9,18,9
2,3,Away,1,1,Draw,13,4,12,6
1,0,Home,1,0,Home,9,4,16,4
2,1,Home,1,0,Home,13,7,16,6
3,1,Home,1,1,Draw,10,5,17,7
2,1,Home,1,0,Home,11,3,17,4
1,5,Away,0,4,Away,8,4,16,9
1,1,Draw,0,1,Away,12,4,3,1
2,1,Home,0,0,Draw,24,8,9,6
1,3,Away,0,1,Away,12,7,16,9
2,1,Home,1,1,Draw,19,4,12,2
2,0,Home,1,0,Home,11,3,6,1
2,2,Draw,0,1,Away,20,6,17,7
4,1,Home,1,0,Home,27,14,5,2
1,5,Away,1,3,Away,9,6,21,11
0,0,Draw,0,0,Draw,11,3,8,2
0,0,Draw,0,0,Draw,8,3,10,2
1,1,Draw,0,1,Away,5,2,12,4
0,3,Away,0,2,Away,12,4,21,9
2,2,Draw,1,1,Draw,10,3,13,4
2,1,Home,0,1,Away,15,6,12,3
2,1,Home,0,0,Draw,16,8,7,2
0,0,Draw,0,0,Draw,13,5,11,2
0,2,Away,0,1,Away,11,1,11,3
0,0,Draw,0,0,Draw,12,4,2,1
1,2,Away,1,1,Draw,8,5,7,3
1,1,Draw,0,0,Draw,20,6,9,2
2,1,Home,2,1,Home,17,8,12,2
1,0,Home,0,0,Draw,15,5,12,2
0,1,Away,0,0,Draw,24,6,11,4
3,0,Home,1,0,Home,16,8,3,2
1,4,Away,0,2,Away,10,4,11,5
1,1,Draw,1,0,Home,11,5,14,5
1,2,Away,0,0,Draw,11,5,10,4
1,0,Home,1,0,Home,14,3,11,4
2,2,Draw,0,2,Away,17,6,14,5
4,1,Home,0,1,Away,17,6,8,1
0,1,Away,0,0,Draw,13,3,14,1
3,2,Home,2,0,Home,10,4,13,7
2,1,Home,0,0,Draw,11,3,11,4
2,1,Home,0,1,Away,21,10,7,3
1,4,Away,0,2,Away,11,2,13,9
2,1,Home,1,1,Draw,14,6,13,5
1,2,Away,1,0,Home,25,9,16,6
1,0,Home,0,0,Draw,12,6,11,3
0,4,Away,0,1,Away,25,8,19,9
0,1,Away,0,0,Draw,9,1,16,6
4,2,Home,1,1,Draw,16,7,9,4
1,1,Draw,0,0,Draw,13,3,10,4
3,0,Home,0,0,Draw,10,6,16,4
2,1,Home,0,1,Away,13,6,7,3
1,0,Home,1,0,Home,10,3,14,5
0,0,Draw,0,0,Draw,10,4,12,6
2,0,Home,1,0,Home,12,4,10,2
3,2,Home,0,1,Away,15,5,15,6
2,2,Draw,1,0,Home,17,9,19,7
1,5,Away,1,3,Away,9,4,18,7
1,2,Away,1,1,Draw,7,1,16,6
1,2,Away,1,1,Draw,9,3,15,8
1,4,Away,0,3,Away,12,4,15,7
0,0,Draw,0,0,Draw,17,3,11,2
0,2,Away,0,2,Away,6,2,7,3
0,2,Away,0,0,Draw,17,0,13,4
4,2,Home,3,0,Home,15,7,16,8
1,1,Draw,0,0,Draw,16,5,9,3
1,0,Home,1,0,Home,13,4,11,0
2,1,Home,2,0,Home,14,6,12,4
3,2,Home,1,1,Draw,14,5,15,6
0,3,Away,0,2,Away,10,3,9,4
1,1,Draw,1,1,Draw,19,8,5,2
2,0,Home,2,0,Home,20,5,6,3
1,2,Away,1,2,Away,13,2,8,2
2,1,Home,0,1,Away,18,7,12,1
0,0,Draw,0,0,Draw,10,2,7,0
4,0,Home,1,0,Home,10,5,21,7
2,0,Home,1,0,Home,13,6,13,2
4,2,Home,2,0,Home,9,3,9,4
0,1,Away,0,0,Draw,14,3,14,3
0,2,Away,0,0,Draw,10,1,7,4
1,1,Draw,0,0,Draw,15,4,5,2
1,0,Home,1,0,Home,8,3,11,2
4,0,Home,1,0,Home,20,9,4,2
1,2,Away,1,1,Draw,16,2,13,5
0,2,Away,0,0,Draw,27,12,7,2
2,0,Home,1,0,Home,14,4,10,2
7,0,Home,3,0,Home,26,14,8,1
2,1,Home,1,0,Home,16,5,13,2
0,1,Away,0,1,Away,17,5,8,2
3,1,Home,2,1,Home,17,6,8,3
2,1,Home,1,1,Draw,12,5,22,7
2,4,Away,2,1,Home,16,8,17,6
1,1,Draw,0,0,Draw,14,6,4,1
2,2,Draw,1,2,Away,10,7,11,7
0,2,Away,0,2,Away,10,2,14,5
0,1,Away,0,0,Draw,12,5,11,7
3,0,Home,1,0,Home,9,6,9,3
3,3,Draw,1,2,Away,13,5,11,4
1,1,Draw,0,0,Draw,10,3,21,7
2,3,Away,1,1,Draw,13,4,12,7
1,0,Home,0,0,Draw,23,10,8,0
1,0,Home,1,0,Home,11,4,11,2
5,1,Home,3,0,Home,12,6,10,5
3,1,Home,2,0,Home,19,9,10,4
1,1,Draw,0,0,Draw,25,8,15,6
1,2,Away,1,0,Home,14,4,14,4
2,2,Draw,1,1,Draw,5,3,11,7
4,0,Home,3,0,Home,23,14,10,2
6,1,Home,4,0,Home,21,10,3,2
